GENE ID	Gene Name	Synonyms	Gene products
DDB_G0267178	DDB_G0267178_RTE		fragment of ORF2 protein from DIRS transposon
DDB_G0267180	DDB_G0267180_RTE		ORF1 protein from DIRS transposon
DDB_G0267182	DDB_G0267182_RTE		ORF2 protein from DIRS transposon
DDB_G0267184	DDB_G0267184_RTE		ORF2 protein fragment from DIRS transposon
DDB_G0267186	DDB_G0267186_RTE		ORF1 protein fragment from DIRS transposon
DDB_G0267188	DDB_G0267188_RTE		ORF2 protein from DIRS transposon
DDB_G0267190	DDB_G0267190		
DDB_G0267192	DDB_G0267192		
DDB_G0267194	DDB_G0267194		
DDB_G0267196	DDB_G0267196		
DDB_G0267198	DDB_G0267198		
DDB_G0267200	DDB_G0267200		
DDB_G0267202	DDB_G0267202		
DDB_G0267204	DDB_G0267204		
DDB_G0267206	DDB_G0267206_RTE		ORF2 protein fragment from DIRS transposon
DDB_G0267208	DDB_G0267208_RTE		ORF1 protein from DIRS transposon
DDB_G0267210	DDB_G0267210_RTE		ORF2 protein from DIRS transposon
DDB_G0267212	DDB_G0267212		Slime mold (D.discoideum) transposon DIRS-1, complete, clone SB41.
DDB_G0267214	DDB_G0267214		
DDB_G0267216	DDB_G0267216		
DDB_G0267218	DDB_G0267218		
DDB_G0267220	DDB_G0267220		
DDB_G0267222	DDB_G0267222		
DDB_G0267224	DDB_G0267224		
DDB_G0267226	DDB_G0267226		Putative retroelement pol polyprotein.
DDB_G0267228	DDB_G0267228		
DDB_G0267230	DDB_G0267230		
DDB_G0267232	DDB_G0267232		
DDB_G0267234	DDB_G0267234		
DDB_G0267236	DDB_G0267236_RTE		ORF2 protein from DIRS transposon
DDB_G0267238	DDB_G0267238_RTE		ORF1 protein from DIRS transposon
DDB_G0267240	DDB_G0267240_RTE		ORF2 protein from DIRS transposon
DDB_G0267242	DDB_G0267242_RTE		ORF1 protein from DIRS transposon
DDB_G0267244	DDB_G0267244_RTE		ORF2 protein from DIRS transposon
DDB_G0267246	DDB_G0267246_RTE		ORF1 protein from DIRS transposon
DDB_G0267248	DDB_G0267248		Slime mold (D.discoideum) transposon DIRS-1, complete, clone SB41.
DDB_G0267250	DDB_G0267250		
DDB_G0267252	DDB_G0267252		
DDB_G0267254	DDB_G0267254_ps		pseudogene
DDB_G0267258	DDB_G0267258_RTE		ORF2 protein from DIRS transposon
DDB_G0267260	DDB_G0267260_RTE		ORF1 protein from DIRS transposon
DDB_G0267262	DDB_G0267262_RTE		ORF2 protein fragment from DIRS transposon
DDB_G0267264	DDB_G0267264_RTE		ORF1 protein from DIRS transposon
DDB_G0267270	DDB_G0267270		Slime mold (D.discoideum) transposon DIRS-1, complete, clone SB41.
DDB_G0267272	DDB_G0267272		Slime mold (D.discoideum) transposon DIRS-1, complete, clone SB41.
DDB_G0267274	DDB_G0267274		
DDB_G0267276	DDB_G0267276		
DDB_G0267278	DDB_G0267278		
DDB_G0267280	DDB_G0267280		
DDB_G0267282	DDB_G0267282_RTE		ORF1 protein from DIRS transposon
DDB_G0267284	DDB_G0267284		
DDB_G0267286	DDB_G0267286		
DDB_G0267290	DDB_G0267290		Slime mold (D.discoideum) transposon DIRS-1, complete, clone SB41.
DDB_G0267292	DDB_G0267292_RTE		ORF1 protein from DIRS transposon
DDB_G0267294	DDB_G0267294_RTE		ORF2 protein from DIRS transposon
DDB_G0267296	DDB_G0267296		Slime mold (D.discoideum) transposon DIRS-1, complete, clone SB41.
DDB_G0267298	DDB_G0267298		
DDB_G0267300	DDB_G0267300_RTE		ORF1 protein from DIRS transposon, ORF2 protein from DIRS transposon
DDB_G0267302	DDB_G0267302		
DDB_G0267304	DDB_G0267304_RTE		ORF2 protein fragment from DIRS transposon
DDB_G0267306	DDB_G0267306_RTE		reverse transcriptase, transposon protease
DDB_G0267308	DDB_G0267308_RTE		gag
DDB_G0267310	DDB_G0267310_RTE		gag
DDB_G0267312	DDB_G0267312		
DDB_G0267314	DDB_G0267314		Slime mold (D.discoideum) transposon DIRS-1, complete, clone SB41.
DDB_G0267316	DDB_G0267316		Slime mold (D.discoideum) transposon DIRS-1, complete, clone SB41.
DDB_G0267318	DDB_G0267318		
DDB_G0267320	DDB_G0267320		
DDB_G0267322	DDB_G0267322		Slime mold (D.discoideum) transposon DIRS-1, complete, clone SB41.
DDB_G0267324	DDB_G0267324_RTE		ORF1 protein from DIRS transposon
DDB_G0267326	DDB_G0267326_RTE		ORF2 protein from DIRS transposon
DDB_G0267328	DDB_G0267328_RTE		ORF2 protein fragment from DIRS transposon
DDB_G0267330	DDB_G0267330_RTE		ORF1 protein from DIRS transposon
DDB_G0267332	DDB_G0267332		unknown
DDB_G0267334	DDB_G0267334_RTE		ORF1 protein from DIRS transposon
DDB_G0267336	DDB_G0267336		
DDB_G0267338	DDB_G0267338_RTE		ORF3 protein fragment from DIRS transposon
DDB_G0267342	DDB_G0267342_RTE		ORF2 protein from DIRS transposon
DDB_G0267344	DDB_G0267344		
DDB_G0267346	DDB_G0267346		
DDB_G0267348	DDB_G0267348		
DDB_G0267350	DDB_G0267350		
DDB_G0267352	DDB_G0267352		
DDB_G0267354	DDB_G0267354		
DDB_G0267356	DDB_G0267356_RTE		reverse transcriptase, transposon protease
DDB_G0267358	DDB_G0267358_RTE		gag
DDB_G0267360	DDB_G0267360		
DDB_G0267362	DDB_G0267362_RTE		reverse transcriptase, transposon protease
DDB_G0267364	DDB_G0267364_RTE		gag
DDB_G0267366	DDB_G0267366_RTE		reverse transcriptase, transposon protease
DDB_G0267368	DDB_G0267368_RTE		gag
DDB_G0267370	DDB_G0267370		
DDB_G0267372	DDB_G0267372		5'-B-MODULE (Fragment).
DDB_G0267374	acpA	cap32, cap-beta	subunit of heterodimeric actin capping protein cap32/34
DDB_G0267376	acrA	ACR, DG1100, ACB	adenylyl cyclase, adenylate cyclase
DDB_G0267378	aqpA		aquaporin, major intrinsic protein family protein
DDB_G0267380	argE	P52D	acetylornithine deacetylase
DDB_G0267382	corA		coronin
DDB_G0267384	culB		cullin B
DDB_G0267386	cysB		cystathionine beta-synthase
DDB_G0267388	dafE		diaminopimelate epimerase
DDB_G0267390	psmB6	DAPS-1, dapA	proteasome subunit beta type 6, 20S proteasome subunit beta-6
DDB_G0267392	plbG	DG1067, PLB	phospholipase B-like protein
DDB_G0267394	vps46	DG1118	SNF7 family protein
