PomBase:SPAC212.08c	UniProtKB:Q9HGP7
PomBase:SPAC212.12	UniProtKB:Q9P3E4
PomBase:SPAC212.02	UniProtKB:Q9HGQ0
PomBase:SPAC212.02	UniProtKB:Q6MX60
PomBase:SPAC212.01c	UniProtKB:Q9HGQ1
PomBase:SPAC977.02	UniProtKB:Q9P332
PomBase:SPAC977.06	UniProtKB:Q9P7U3
PomBase:SPAC977.07c	UniProtKB:Q9P329
PomBase:SPAC977.08	UniProtKB:Q9P324
PomBase:SPAC977.09c	UniProtKB:Q9P327
PomBase:SPAC977.11	UniProtKB:Q9UTS8
PomBase:SPAC977.15	UniProtKB:Q9P7U1
PomBase:SPAC977.16c	UniProtKB:O74215
PomBase:SPAC1F8.02c	UniProtKB:Q92340
PomBase:SPAC11D3.01c	UniProtKB:Q10080
PomBase:SPAC11D3.02c	UniProtKB:Q10081
PomBase:SPAC11D3.04c	UniProtKB:Q10083
PomBase:SPAC11D3.05	UniProtKB:Q10084
PomBase:SPAC11D3.07c	UniProtKB:Q10086
PomBase:SPAC11D3.09	UniProtKB:Q10088
PomBase:SPAC11D3.13	UniProtKB:Q10092
PomBase:SPAC11D3.14c	UniProtKB:Q10093
PomBase:SPAC11D3.17	UniProtKB:Q10096
PomBase:SPAC5H10.02c	UniProtKB:Q09675
PomBase:SPAC5H10.03	UniProtKB:Q09676
PomBase:SPAC5H10.04	UniProtKB:Q09670
PomBase:SPAC5H10.05c	UniProtKB:Q09677
PomBase:SPAC5H10.06c	UniProtKB:Q09669
PomBase:SPAC5H10.09c	UniProtKB:Q09672
PomBase:SPAC5H10.10	UniProtKB:Q09671
PomBase:SPAC13G6.01c	UniProtKB:P36607
PomBase:SPAC13G6.03	UniProtKB:Q09782
PomBase:SPAC13G6.05c	UniProtKB:Q09784
PomBase:SPAC13G6.06c	UniProtKB:Q09785
PomBase:SPAC13G6.08	UniProtKB:Q09786
PomBase:SPAC13G6.09	UniProtKB:Q09787
PomBase:SPAC13G6.12c	UniProtKB:P30597
PomBase:SPAC13G6.14	UniProtKB:Q09790
PomBase:SPAC13G6.15c	UniProtKB:Q09791
PomBase:SPAC24B11.05	UniProtKB:Q09893
PomBase:SPAC24B11.09	UniProtKB:Q09896
PomBase:SPAC24B11.11c	UniProtKB:Q09898
PomBase:SPAC24B11.13	UniProtKB:Q09899
PomBase:SPAC806.03c	UniProtKB:Q9UT56
PomBase:SPAC806.04c	UniProtKB:Q9UT55
PomBase:SPAC806.06c	UniProtKB:Q9UT53
PomBase:SPAC806.07	UniProtKB:P49740
PomBase:SPAC806.08c	UniProtKB:Q9UT52
PomBase:SPAC1639.01c	UniProtKB:Q7LKX0
PomBase:SPAC1639.02c	UniProtKB:Q10065
PomBase:SPAC1F5.09c	UniProtKB:Q10056
PomBase:SPAC1F5.08c	UniProtKB:Q10063
PomBase:SPAC1F5.06	UniProtKB:Q10061
PomBase:SPAC1F5.02	UniProtKB:Q10057
PomBase:SPAC18B11.10	UniProtKB:Q9USG3
PomBase:SPAC18B11.10	UniProtKB:Q09715
PomBase:SPAC18B11.09c	UniProtKB:Q09707
PomBase:SPAC18B11.06	UniProtKB:Q09713
PomBase:SPAC12G12.16c	UniProtKB:Q09708
PomBase:SPAC12G12.12	UniProtKB:Q09875
PomBase:SPAC12G12.08	UniProtKB:Q09865
PomBase:SPAC12G12.06c	UniProtKB:Q09870
PomBase:SPAC12G12.01c	UniProtKB:Q09866
PomBase:SPAC630.04c	UniProtKB:Q9UUH8
PomBase:SPAC630.03	UniProtKB:P32390
PomBase:SPAC630.07c	UniProtKB:Q9UUH5
PomBase:SPAC630.08c	UniProtKB:Q9UUH4
PomBase:SPAC630.15	UniProtKB:Q9C110
PomBase:SPAC630.12	UniProtKB:Q9UUH0
PomBase:SPAC1751.03	UniProtKB:Q9URK6
PomBase:SPAC1751.03	UniProtKB:Q09722
PomBase:SPAC31A2.03	UniProtKB:Q09724
PomBase:SPAC31A2.05c	UniProtKB:Q09725
PomBase:SPAC31A2.08	UniProtKB:Q09727
PomBase:SPAC31A2.11c	UniProtKB:Q09728
PomBase:SPAC31A2.12	UniProtKB:Q09729
PomBase:SPAC31A2.13c	UniProtKB:Q09730
PomBase:SPAC31A2.14	UniProtKB:Q9USE0
PomBase:SPAC31A2.14	UniProtKB:Q09731
PomBase:SPAC13C5.01c	UniProtKB:Q09682
PomBase:SPAC13C5.02	UniProtKB:Q09685
PomBase:SPAC13C5.03	UniProtKB:Q09684
PomBase:SPAC13C5.04	UniProtKB:Q09686
PomBase:SPAC13C5.05c	UniProtKB:Q09687
PomBase:SPAC13C5.06c	UniProtKB:Q09688
