CG6883	FBan0006883	FBgn0003749	trh	trachealess	FBgn0010944,FBgn0026793
CG6884	FBan0006884	FBgn0036811	MED11	Mediator complex subunit 11	FBgn0045879,FBgn0063287
CG6885	FBan0006885	FBgn0036810	CG6885	CG6885	FBgn0061709
CG6888	FBan0006888	FBgn0036490	CG6888	CG6888	FBgn0065007
CG6889	FBan0006889	FBgn0040071	tara	taranis	FBgn0010823,FBgn0011312,FBgn0038408,FBgn0063795
CG12931	FBan0012931	FBgn0033422	Or45b	Odorant receptor 45b	
CG12932	FBan0012932	FBgn0033419	CG12932	CG12932	
CG14390	FBan0014390	FBgn0038084	beat-Vc	beat-Vc	
CG13661	FBan0013661	FBgn0039285	CG13661	CG13661	
CG13662	FBan0013662	FBgn0039287	CG13662	CG13662	
CG12933	FBan0012933	FBgn0033418	CG12933	CG12933	
CG14391	FBan0014391	FBgn0038078	CG14391	CG14391	FBgn0063311
CG12934	FBan0012934	FBgn0033541	CG12934	CG12934	
CG13663	FBan0013663	FBgn0039291	CG13663	CG13663	
CG12935	FBan0012935	FBgn0033547	CG12935	CG12935	
CG13664	FBan0013664	FBgn0039295	CG13664	CG13664	
CG12936	FBan0012936	FBgn0033549	CG12936	CG12936	
CG14394	FBan0014394	FBgn0038079	CG14394	CG14394	
CG14395	FBan0014395	FBgn0038073	CG14395	CG14395	
CG12938	FBan0012938	FBgn0033554	CG12938	CG12938	
CG13667	FBan0013667	FBgn0035890	CG13667	CG13667	
CG14396	FBan0014396	FBgn0011829	Ret	Ret oncogene	FBgn0022789,FBgn0032930,FBgn0032931
CG6890	FBan0006890	FBgn0029114	Tollo	Tollo	FBgn0041571
CG6891	FBan0006891	FBgn0030955	CG6891	CG6891	
CG6892	FBan0006892	FBgn0039225	Ets96B	Ets96B	
CG6893	FBan0006893	FBgn0036807	CG6893	CG6893	
CG6895	FBan0006895	FBgn0040323	GNBP1	Gram-negative bacteria binding protein 1	FBgn0036803
CG6896	FBan0006896	FBgn0036801	MYPT-75D	MYPT-75D	
CG6897	FBan0006897	FBgn0036800	CG6897	CG6897	
CG6898	FBan0006898	FBgn0038412	Zip3	Zinc/iron regulated transporter-related protein 3	
CG6899	FBan0006899	FBgn0004368	Ptp4E	Protein tyrosine phosphatase 4E	
CG13670	FBan0013670	FBgn0035873	CG13670	CG13670	
CG13671	FBan0013671	FBgn0035867	CG13671	CG13671	
CG12942	FBan0012942	FBgn0033569	CG12942	CG12942	
CG12943	FBan0012943	FBgn0033572	CG12943	CG12943	
CG13672	FBan0013673	FBgn0035862	CG13672	CG13672	
CG12944	FBan0012944	FBgn0033573	Obp47a	Odorant-binding protein 47a	
CG13673	FBan0013672	FBgn0040831	CG13673	CG13673	
CG12945	FBan0012945	FBgn0037755	CG12945	CG12945	
CG13674	FBan0013674	FBgn0035858	CG13674	CG13674	
CG12946	FBan0012946	FBgn0037750	CG12946	CG12946	
CG13675	FBan0013675	FBgn0035845	CG13675	CG13675	
CG12947	FBan0012947	FBgn0037753	CG12947	CG12947	
CG13676	FBan0013676	FBgn0035844	CG13676	CG13676	
CG12948	FBan0012948	FBgn0037739	CG12948	CG12948	
CG13678	FBan0013678	FBgn0035859	CG13678	CG13678	FBgn0047144
CG13679	FBan0013679	FBgn0035856	CG13679	CG13679	FBgn0047158
CG12950	FBan0012950	FBgn0037736	CG12950	CG12950	
CG12951	FBan0012951	FBgn0037677	CG12951	CG12951	
CG13680	FBan0013680	FBgn0040834	CG13680	CG13680	
CG13681	FBan0013681	FBgn0035832	CG13681	CG13681	
CG12952	FBan0012952	FBgn0037672	sage	salivary gland-expressed bHLH	
CG12954	FBan0012954	FBgn0034001	mRpL41	mitochondrial ribosomal protein L41	FBgn0047156
CG3200	FBan0003200	FBgn0016715	Reg-2	Rhythmically expressed gene 2	
CG3201	FBan0003201	FBgn0004687	Mlc-c	Myosin light chain cytoplasmic	
CG13685	FBan0013685	FBgn0035816	CG13685	CG13685	
CG13686	FBan0013686	FBgn0040106	lectin-21Cb	lectin-21Cb	FBgn0031271
CG3203	FBan0003203	FBgn0029897	RpL17	Ribosomal protein L17	FBgn0026274
CG13687	FBan0013687	FBgn0013323	Ptth	Prothoracicotropic hormone	FBgn0031269
CG3204	FBan0003204	FBgn0025806	Rap2l	Ras-associated protein 2-like	
CG12958	FBan0012958	FBgn0034018	CG12958	CG12958	
CG12959	FBan0012959	FBgn0034019	CG12959	CG12959	
CG13688	FBan0013688	FBgn0031267	Ipk2	Ipk2	
CG13689	FBan0013689	FBgn0031270	CG13689	CG13689	
CG3206	FBan0003206	FBgn0023523	Or2a	Odorant receptor 2a	
CG3208	FBan0003208	FBgn0029778	RhoGAP5A	RhoGAP5A	
CG3209	FBan0003209	FBgn0034971	CG3209	CG3209	
CG12960	FBan0012960	FBgn0034023	CG12960	CG12960	
CG13690	FBan0013690	FBgn0031252	CG13690	CG13690	
CG13691	FBan0013691	FBgn0031255	BBS2	BBS2	
CG13692	FBan0013692	FBgn0031254	CG13692	CG13692	
CG12963	FBan0012963	FBgn0034031	CG12963	CG12963	FBgn0063704
CG3210	FBan0003210	FBgn0026479	Drp1	Dynamin related protein 1	FBgn0005566,FBgn0005579,FBgn0031438,FBgn0042649
CG13693	FBan0013693	FBgn0031235	CG13693	CG13693	
CG12964	FBan0012964	FBgn0034022	CG12964	CG12964	
CG13694	FBan0013694	FBgn0031219	CG13694	CG13694	
CG3212	FBan0003212	FBgn0031547	Sr-CIV	Scavenger receptor class C, type IV	
CG13695	FBan0013695	FBgn0020300	gk	geko	FBgn0036779,FBgn0040790,FBgn0047124
CG3213	FBan0003213	FBgn0031545	CG3213	CG3213	
CG3214	FBan0003214	FBgn0031436	CG3214	CG3214	FBgn0025287,FBgn0063253
CG3215	FBan0003215	FBgn0034825	CG3215	CG3215	
CG13698	FBan0013698	FBgn0036773	CG13698	CG13698	
CG3216	FBan0003216	FBgn0034568	CG3216	CG3216	
CG13699	FBan0013699	FBgn0036781	CG13699	CG13699	
CG3217	FBan0003217	FBgn0025676	CkII&agr;-i3	CKII-&agr; subunit interactor-3	
CG3218	FBan0003218	FBgn0000810	fs(1)K10	female sterile (1) K10	FBgn0029607
CG3219	FBan0003219	FBgn0034824	Klp59C	Klp59C	
CG12970	FBan0012970	FBgn0034047	CG12970	CG12970	
CG12971	FBan0012971	FBgn0037078	CG12971	CG12971	
CG12972	FBan0012972	FBgn0037076	CG12972	CG12972	
CG12974	FBan0012974	FBgn0037065	CG12974	CG12974	
CG3221	FBan0003221	FBgn0034569	CG3221	CG3221	
CG12975	FBan0012975	FBgn0037061	CG12975	CG12975	FBgn0047083
CG12976	FBan0012976	FBgn0037053	CG12976	CG12976	
CG3222	FBan0003222	FBgn0036014	CG3222	CG3222	FBgn0045268
CG12977	FBan0012977	FBgn0037052	CG12977	CG12977	
CG3223	FBan0003223	FBgn0037538	CG3223	CG3223	
CG3224	FBan0003224	FBgn0029885	CG3224	CG3224	
CG3225	FBan0003225	FBgn0031631	CG3225	CG3225	
CG3226	FBan0003226	FBgn0029882	CG3226	CG3226	
CG3227	FBan0003227	FBgn0031434	insv	insensitive	FBgn0047090
CG3228	FBan0003228	FBgn0001330	kz	kurz	
CG10000	FBan0010000	FBgn0039596	CG10000	CG10000	
CG10001	FBan0010001	FBgn0039595	AR-2	Allatostatin Receptor 2	FBgn0044357,FBgn0046611,FBgn0046612
CG10002	FBan0010002	FBgn0000659	fkh	fork head	FBgn0015292
CG10005	FBan0010005	FBgn0037972	CG10005	CG10005	FBgn0062992
CG10006	FBan0010006	FBgn0036461	CG10006	CG10006	
CG10007	FBan0010007	FBgn0037971	CG10007	CG10007	
CG10009	FBan0010009	FBgn0026400	Noa36	Noa36	
CG12983	FBan0012983	FBgn0037040	CG12983	CG12983	FBgn0045150
CG12984	FBan0012984	FBgn0037042	CG12984	CG12984	
CG12985	FBan0012985	FBgn0030881	CG12985	CG12985	
CG3231	FBan0003231	FBgn0027522	CG3231	CG3231	
CG2503	FBan0002503	FBgn0010750	atms	antimeros	FBgn0011800,FBgn0037274,FBgn0046477,FBgn0046478,FBgn0046479
CG12986	FBan0012986	FBgn0030868	CG12986	CG12986	
CG2505	FBan0002505	FBgn0015570	&agr;-Est2	&agr;-Esterase-2	
CG2507	FBan0002507	FBgn0002306	sas	stranded at second	
CG2508	FBan0002508	FBgn0032863	cdc23	cdc23	
CG3238	FBan0003238	FBgn0031540	CG3238	CG3238	
CG3239	FBan0003239	FBgn0029769	CG3239	CG3239	FBgn0043827
CG10011	FBan0010011	FBgn0039590	CG10011	CG10011	
CG10013	FBan0010013	FBgn0038012	CG10013	CG10013	
CG10014	FBan0010014	FBgn0038000	CG10014	CG10014	
CG10016	FBan0010016	FBgn0024244	drm	drumstick	FBgn0031551
CG10017	FBan0010017	FBgn0031557	CG10017	CG10017	
CG10018	FBan0010018	FBgn0037338	Snm1	Snm1	
CG10019	FBan0010019	FBgn0031568	CG10019	CG10019	FBgn0043805
CG12990	FBan0012990	FBgn0030859	CG12990	CG12990	
CG12991	FBan0012991	FBgn0030847	CG12991	CG12991	
CG12992	FBan0012992	FBgn0030846	CG12992	CG12992	
CG12993	FBan0012993	FBgn0030840	CG12993	CG12993	
