SPCC5E4.05c	UniProtKB:O94305
SPCC777.13	UniProtKB:O74552
SPAC15A10.05c	UniProtKB:O13725
SPBC21D10.12	UniProtKB:O74352
SPAPB1A10.04c	UniProtKB:O60052
SPAC694.06c	UniProtKB:Q9P7T4
SPBC1683.09c	UniProtKB:Q04800
SPAC17A2.01	UniProtKB:P33532
SPAC2E1P3.01	UniProtKB:Q9P7F4
SPCC14G10.01	UniProtKB:O74414
SPAC1782.09c	UniProtKB:Q9P7H1
SPAC11D3.10	UniProtKB:Q10089
SPBC1E8.05	UniProtKB:O42970
SPBC14F5.10c	UniProtKB:O60106
SPBC4F6.10	UniProtKB:O74396
SPAC1093.06c	UniProtKB:O13290
SPAC1687.12c	UniProtKB:O94453
SPAC139.02c	UniProtKB:Q9UTN1
SPAC25H1.08c	UniProtKB:O13982
SPCC757.13	UniProtKB:O74923
SPAC16E8.15	UniProtKB:P78954
SPBP35G2.04c	UniProtKB:Q9P799
SPAC3F10.15c	UniProtKB:Q10189
SPBC1289.07c	UniProtKB:O94616
SPBC8D2.02c	UniProtKB:O43073
SPAC30D11.14c	UniProtKB:Q09911
SPAC2F3.04c	UniProtKB:O14087
SPBC1703.15c	UniProtKB:Q9P7V6
SPAC57A10.02	UniProtKB:P87050
SPBC3B9.02c	UniProtKB:O43031
SPAC1635.01	UniProtKB:Q9P544
SPACUNK4.11c	UniProtKB:O14076
SPAC144.11	UniProtKB:P79013
SPCC290.04	UniProtKB:Q9URT4
SPAC167.08	UniProtKB:Q05654
SPBC646.16	UniProtKB:O94517
SPCPB16A4.06c	UniProtKB:Q96WU9
SPCC16C4.18c	UniProtKB:O74462
SPBC21.07c	UniProtKB:O94647
SPAC21E11.05c	UniProtKB:Q09928
SPCC24B10.19c	UniProtKB:Q9P7I7
SPAC1F7.10	UniProtKB:Q09921
SPBC4F6.16c	UniProtKB:O74401
SPBC2F12.04	UniProtKB:O14339
SPBC17D1.02	UniProtKB:Q10206
SPAC57A7.08	UniProtKB:P78968
SPAPB17E12.10c	UniProtKB:Q8TFH4
SPAC17H9.13c	UniProtKB:O13810
SPAC3C7.05c	UniProtKB:O14131
SPAC1002.07c	UniProtKB:P79081
SPAC1B1.01	UniProtKB:O13862
SPAC29B12.04	UniProtKB:O14027
SPBC1105.11c	UniProtKB:P10651
SPAC23H3.05c	UniProtKB:O42858
SPCC1393.05	UniProtKB:O94717
SPCC794.12c	UniProtKB:P40375
SPCC1259.04	UniProtKB:O94704
SPBC776.03	UniProtKB:O94671
SPBC17D11.01	UniProtKB:O42980
SPAC589.12	UniProtKB:Q9HDZ2
SPBC146.02	UniProtKB:Q9Y807
SPAC9E9.07c	UniProtKB:P17609
SPBC685.08	UniProtKB:Q9Y7L9
SPAC9G1.06c	UniProtKB:O14302
SPAPB2B4.04c	UniProtKB:Q9HDW7
SPBC1921.01c	UniProtKB:Q9USX4
SPCC1739.08c	UniProtKB:O74470
SPCC965.03	UniProtKB:O59823
SPAC26F1.12c	UniProtKB:Q10498
SPBP22H7.08	UniProtKB:O13614
SPBC776.11	UniProtKB:P57728
SPAC27E2.10c	UniProtKB:O14003
SPBC16D10.06	UniProtKB:O94639
SPBC1683.10c	UniProtKB:Q9P6J2
SPBC215.02	UniProtKB:O94307
SPBC30D10.08	UniProtKB:O14354
SPBC17D1.07c	UniProtKB:Q10201
SPAC17C9.15c	UniProtKB:Q10486
SPBC1778.09	UniProtKB:Q9Y7J5
SPAC19E9.02	UniProtKB:O13839
SPCC1682.05c	UniProtKB:O74436
SPAC31A2.07c	UniProtKB:Q09719
SPAC823.04	UniProtKB:Q9P6P2
SPBC27.02c	UniProtKB:Q9P6S5
SPBC776.15c	UniProtKB:O94681
SPBC23E6.03c	UniProtKB:O60178
SPAC23H4.13c	UniProtKB:O13954
SPAC4G8.05	UniProtKB:Q09831
SPAC31A2.02	UniProtKB:Q09723
SPAC26H5.12	UniProtKB:O13993
SPBC18E5.13	UniProtKB:Q76PC7
SPAC2F7.08c	UniProtKB:Q09699
SPBC21B10.03c	UniProtKB:Q9USW1
