# GeneSpring v.7.3.1
# Annotations file for the Master Table of Genes (both ORFs and non-
# ORFs) for genome Fission yeast
Systematic Name	EC number	PombePD	Our_annotation	Phenotype	Function	Keywords	PubMedID	GeneDB	Remarks	Swissprot	Type	DBid	GO biological process	GO molecular function	GO cellular component	RefSeq	UniGene
ptc3	EC3.1.3.16	Serine/threonine phosphatase, member of the PP2C family					SPAC2G11.07c	protein phosphatase 2C Ptc3		Q09173							
P23A10.15c	EC3.4.24.64	Probable mitochondrial processing peptidase beta subunit precursor					SPBP23A10.15c	peptidase family M16,  mas1		Q9P7X1							
sak1		Positive regulator in cAMP-dependent protein kinase pathway that regulates cell-cycle exit, member of the RFX DNA-binding protein family					SPAC3G9.14	RFX domain		P48383							
ptc4	EC3.1.3.16	Member of the protein phosphatase 2C family, which are Mg2+ dependent protein serine and threonine phosphatases, has low similarity to S. cerevisiae Ycr079p, which is a protein phosphatase involved in the stress response					SPAC4A8.03c	protein phosphatase 2C Ptc4		O14156							
C3G9.10c		Protein containing a 3' exoribonuclease family domain 1 domain and a 3 prime exoribonuclease family domain 2, has moderate similarity to S. cerevisiae Ski6p, which is a component of the exosome 3'-5' exoribonuclease complex					SPAC3G9.10c	exosome (RNase complex) (predicted)		O42872							
C31G5.02		Protein with high similarity to reversal of tor2 lethality (S. cerevisiae Rot1p), which plays a role cell wall organization and biogenesis					SPAC31G5.02	conserved fungal protein		O14103							
C17D11.06		DNA primase, large (non-catalytic) subunit					SPBC17D11.06	DNA primase large subunit,  pri2		O74761							
C31G5.04		Protein with high similarity to homoisocitrate dehydrogenase (S. cerevisiae Lys12p), which converts homoisocitrate to alpha-ketoadipate during lysine biosynthesis, contains an isocitrate or isopropylmalate dehydrogenase domain					SPAC31G5.04	homoisocitrate dehydrogenase		O14104							
C17D11.08		Protein containing four WD domains (WD-40 repeats), which may mediate protein-protein interactions, has low similarity to uncharacterized C. elegans F53C11.7					SPBC17D11.08	WD repeat protein		O74763							
C31G5.06		Protein of unknown function					SPAC31G5.06	sequence orphan		O14106							
C31G5.07		Protein of unknown function					SPAC31G5.07	conserved fungal protein		O14107							
C1709.16c	EC1.13.11.-	Protein containing a bacterial LigB domain, which are catalytic subunits of aromatic ring-opening dioxygenase, has low similarity to uncharacterized C. albicans Orf19.6898p					SPBC1709.16c	conserved protein (mainly bacterial fungal and plant)		O74741							
C553.07c		Member of the impB, mucB or samB family, has low similarity to a region of DNA polymerase kappa (human POLK), which is a low fidelity DNA polymerase that acts in translesion DNA replication and untargeted mutagenesis and is upregulated in lung cancer					SPCC553.07c	DinB translesion DNA repair polymerase		O74944							
