EG	GN	SP	GI	Description	
EG10001	alr	P0A6B4	g1790487	Alanine racemase
EG10002	modB	P0AF01	g1786980	Molybdate uptake; chlorate resistance; membrane-spanning ABC protein
EG10003	cysZ	P0A6J3	g1788753	Function unknown, upstream of cysK
EG10004	dfp	P0ABQ0	g87082301	Coenzyme A biosynthesis, bifunctional enzyme; phosphopantothenoylcysteine decarboxylase (N) and phosphopantothenoylcysteine synthase (C)
EG10005	fruB	P69811	g1788494	Fructosephosphotransferase enzyme III
EG10006	dcuB	P0ABN9	g1790565	C4-dicarboxylate transporter, anaerobic
EG10007	hisM	P0AEU3	g1788645	Histidine transport permease
EG10008	zraS	P14377	g1790436	Two component sensor kinase for ZraP; responsive to Zn(2+) and Pb(2+); autoregulated; regulation of Hyd-3 activity is probably due to crosstalk of overexpressed protein
EG10009	icdC'	Null	g87081844	Pseudogene, isocitrate dehydrogenase, e14 attachment site
EG10010	rhsE'	P24211	g1787728	Pseudogene, rhs family, encoded within RhsE repeat; hotspot for chromosomal duplication formation
EG10011	yaaA	P0A8I3	g1786187	Low abundance protein, UPF0246 family, function unknown
EG10012	cydC	P23886	g1787112	Glutathione, cysteine exporter CydDC, ABC transporter; exports glutathione and cysteine to the periplasm as required for cytochrome assembly; fused ABC subunits: N-terminal permease domain and C-terminal cytoplasmic ATP-binding domain
EG10013	yebA	P0AFS9	g87081989	Predicted metalloprotease, function unknown; M37 family
EG10014	acrD	P24177	g1788814	Aminoglycoside efflux pump; RND-type transporter
EG10015	rodZ	P27434	g1788864	Cytoskeletal protein required for MreB assembly; required for swarming phenotype; transmembrane protein
EG10016	garL	P23522	g1789514	2-dehydro-3-deoxygalactarate aldolase; homohexameric
EG10017	ispB	P0AD57	g1789578	Octaprenyl diphosphate synthase, isoprenoid biosynthesis
EG10018	csrD	P13518	g1789650	Targets csrBC sRNAs for degradation by RNase E; degenerate GGDEF/EAL protein; carbon flux regulator; indirectly affects CsrA function
EG10020	cpxR	P0AE88	g2367329	Response regulator, periplasmic stress response; CpxA is cognate sensor protein
EG10021	yjiA	P24203	g87082430	Predicted GTPase, binds GTP, function unknown
EG10022	aceA	P0A9G6	g1790445	Isocitrate lyase, acetate utilization, glyoxylate shunt; tetrameric
EG10023	aceB	P08997	g1790444	Malate synthase A; glyoxylate shunt enzyme
EG10024	aceE	P0AFG8	g1786304	Pyruvate dehydrogenase, decarboxylase component E1; acetate requirement
EG10025	aceF	P06959	g1786305	Pyruvate dehydrogenase, dihydrolipoamide acetyltransferase E2; acetate requirement
EG10026	aceK	P11071	g1790446	Isocitrate dehydrogenase kinase/phosphatase
EG10027	ackA	P0A6A3	g1788633	Acetate kinase, produces acetyl phosphate; mutants are fluoroacetate resistant; creBC regulon; binds Zn(II)
EG10028	pflA	P0A9N4	g1787130	Pyruvate formate lyase I activase
EG10029	ada	P06134	g1788542	O6-methylguanine-DNA methyltransferase, transcription factor; inducible; DNA repair against methylating and alkylating agents; binds Zn(II)
EG10030	add	P22333	g1787910	Adenosine deaminase
EG10031	adhE	P0A9Q7	g1787493	Alcohol dehydrogenase, largely anaerobic; aerobic antioxidant; acetaldehyde-CoA dehydrogenase, CoA-linked; allyl alcohol resistance
EG10032	adk	P69441	g1786680	Adenylate kinase; weak nucleoside diphosphate kinase activity; pleiotropic effects on glycerol-3-phosphate acyltransferase activity; monomeric
EG10033	agp	P19926	g1787237	Periplasmic glucose-1-phosphatase, acidic; has inositol phosphatase activity
EG10034	alaS	P00957	g1789048	Alanine--tRNA ligase
EG10035	aldA	P25553	g1787684	Aldehyde dehydrogenase, NAD-dependent; active on lactaldehyde, glycolaldehyde, and other aldehydes
EG10036	puuC	P23883	g1787558	gamma-Glutamyl-gamma-aminobutyraldehyde dehydrogenase; putrescine utilization pathway
EG10037	alkB	P05050	g1788541	Alkylated DNA repair enzyme; alpha-ketoglutarate- and Fe(II)-dependent dioxygenase; releases replication blocks by oxidative demethylation of 1-methyladenine and 3-methylcytosine residues in ssDNA and dsDNA
EG10039	amn	P0AE12	g1788293	AMP nucleosidase
EG10040	ampC	P00811	g1790593	Intrinsic weak beta-lactamase activity; penicillin resistance; affects morphology; penicillin-binding protein
EG10041	ampD	P13016	g1786300	1,6-anhydro-N-acetylmuramyl-L-alanine amidase, Zn-dependent; murein amidase
EG10042	ampE	P0AE14	g1786301	Ampicillin resistance; membrane protein
EG10043	cysQ	P22255	g1790659	3'-phosphoadenosine 5'-phosphate (pAp) phosphatase; converts pAp to AMP; inhibited by lithium and calcium, leading to pAP accumulation; probable PAPS (adenosine 3'-phosphate 5'-phosphosulfate) 3'(2'),5'-bisphosphate nucleotidase: probably converts PAPS to
EG10044	osmE	P0ADB1	g1788035	Osmotically inducible lipoprotein, function unknown
EG10045	ansA	P0A962	g1788065	L-Asparaginase I
EG10046	ansB	P00805	g1789327	L-Asparaginase II
EG10047	apaG	P62672	g1786235	Expressed as part of complex ksgA operon, function unknown; Salmonella ortholog involved in Co2+ and Mg2+ efflux; upstream of apaH
EG10048	apaH	P05637	g1786234	Dinucleoside tetraphosphatase, symmetrical; diadenosine tetraphosphatase; bis(5'-nucleosyl)-tetraphosphatase, symmetrical
EG10049	appA	P07102	g1787215	Acid phosphatase, pH 2.5, exopolyphosphatase; phytase
EG10050	appY	P05052	g1786776	Global transcription regulator, AraC family, DLP12 prophage
EG10051	apt	P69503	g1786675	Adenine phosphoribosyltransferase; adenine salvage, AMP from PRPP + Ade
EG10052	araA	P08202	g1786248	L-Arabinose isomerase; first step in arabinose catabolism; converts L-arabinose to L-ribulose
EG10053	araB	P08204	g1786249	Ribulokinase
EG10054	araC	P0A9E0	g1786251	Transcriptional activator for the ara regulon; autorepressor in the absence of arabinose co-activator
EG10055	araD	P08203	g1786247	L-ribulose-5-phosphate 4-epimerase
EG10056	araE	P0AE24	g1789207	Low-affinity L-arabinose transport; L-arabinose proton symport
EG10057	araF	P02924	g1788211	L-Arabinose-binding protein
EG10058	araG	P0AAF3	g1788210	High-affinity L-arabinose transport
EG10059	araH	P0AE26	g48994893	High-affinity L-arabinose transport, membrane protein
EG10060	araJ	P23910	g1786595	Function unknown, arabinose inducible; not involved in arabinose uptake or utilization; possible arabinose exporter
EG10061	arcA	P0A9Q1	g1790863	Response regulator, represses aerobic genes during anaerobic growth; also activates some anaerobic genes; phosphorylated by two-component sensor kinase ArcB; RpoS represssor
EG10062	arcB	P0AEC3	g48994928	Aerobic respiration control sensor histidine protein kinase; phosphorylates response regulator proteins ArcA and RssB
EG10063	argA	P0A6C5	g1789181	N-acetylglutamate synthase; first step in arginine biosynthesis; amino-acid acetyltransferase; L-glutamate N-acetyltransferase; growth on acetylornithine; feedback inhibited by L-arginine
EG10064	argB	P0A6C8	g87082353	N-acetylglutamate kinase
EG10065	argC	P11446	g1790396	N-acetyl-gamma-glutamyl-phosphate reductase
EG10066	argD	P18335	g1789759	Acetylornithine aminotransferase; succinyldiaminopimelate aminotransferase, PLP-dependent
EG10067	argF	P06960	g1786469	Ornithine carbamoyltransferase; ornithine transcarbamylase; OTCase; CP4-6 putative prophage remnant
EG10068	argG	P0A6E4	g1789563	Argininosuccinate synthase
EG10069	argI	P04391	g1790703	Ornithine carbamoyltransferase; ornithine transcarbamylase; OTCase
EG10070	argR	P0A6D0	g1789633	Repressor of Arg regulon; cer-mediated site-specific recombination in plasmid ColE1; hexameric
EG10071	argS	P11875	g1788184	Arginine--tRNA ligase
EG10072	argT	P09551	g1788649	Periplasmic Lys-, Arg-, and Orn-binding protein
EG10073	aroA	P0A6D3	g1787137	5-enolpyruvyl shikimate-3-phosphate synthase; ESPS synthase; 3-phosphoshikimate-1-carboxyvinyltransferase
EG10074	aroB	P07639	g1789791	3-Dehydroquinate synthase
EG10075	aroC	P12008	g1788669	Chorismate synthase
EG10076	aroD	P05194	g1787984	3-Dehydroquinate dehydratase
EG10077	aroE	P15770	g1789675	Shikimate 5-dehydrogenase
EG10078	aroF	P00888	g1788953	3-deoxy-D-arabino-heptulosonate 7-phosphate (DAHP) synthase; tyrosine repressible; TyrR regulon
EG10079	aroG	P0AB91	g1786969	3-deoxy-D-arabino-heptulosonate-7-phosphate (DAHP) synthase; phenylalanine repressible; TyrR regulon
EG10080	aroH	P00887	g1787996	3-deoxy-D-arabino-heptulosonate-7-phosphate (DAHP) synthase; tryptophan repressible
EG10081	aroK	P0A6D7	g87082255	Shikimate kinase I; alkali-inducible
EG10082	aroL	P0A6E1	g1786587	Shikimate kinase II
EG10083	aroM	P0AE28	g1786589	Regulated by aroR, function unknown
EG10084	aroP	P15993	g1786302	General aromatic amino acid transport
EG10085	ascB	P24240	g1789070	Cryptic phospho-beta-glucosidase; expressed when AscG is mutated
EG10086	ascF	P24241	g48994906	PTS system EIIBC enzyme, beta-glucoside phosphotransferase; paralogous to bglF; cryptic unless AscG is mutated
EG10087	ascG	P24242	g1789068	Repressor of cryptic asc operon
EG10088	asd	P0A9Q9	g1789841	Aspartate semialdehyde dehydrogenase
EG10089	aslA	P25549	g1790233	Suppresses gpp mutants; putative arylsulfatase
EG10090	aslB	P25550	g48994973	Suppresses gpp mutants, putative arylsulfatase
EG10091	asnA	P00963	g1790183	Asparagine synthase A; aspartate-ammonia ligase
EG10092	asnB	P22106	g1786889	Asparagine synthase B [glutamine-hydrolyzing]
EG10093	asnC	P0ACI6	g1790182	Regulatory gene for asnA, asnC, gidA, Lrp family
EG10094	asnS	P0A8M0	g1787161	Asparagine--tRNA ligase
EG10095	aspA	P0AC38	g87082375	L-Aspartate ammonia-lyase; L-aspartase
EG10096	aspC	P00509	g1787159	Aspartate aminotransferase, AspAT; kynurenine aminotransferase; glutamine transaminase K
EG10097	aspS	P21889	g1788173	Aspartate--tRNA ligase
EG10098	atpA	P0ABB0	g1790172	ATP synthase subunit alpha, membrane-bound, F1 sector
EG10099	atpB	P0AB98	g1790176	ATP synthase subunit a, membrane-bound, F0 sector
EG10100	atpC	P0A6E6	g1790169	ATP synthase subunit epsilon, membrane-bound, F1 sector
EG10101	atpD	P0ABB4	g1790170	ATP synthase subunit beta, membrane-bound, F1 sector
EG10102	atpE	P68699	g1790175	ATP synthase subunit c, membrane-bound, F0 sector; DCCD-binding
EG10103	atpF	P0ABA0	g1790174	ATP synthase subunit b, membrane-bound, F0 sector
EG10104	atpG	P0ABA6	g1790171	ATP synthase subunit gamma, membrane-bound, F1 sector
EG10105	atpH	P0ABA4	g1790173	ATP synthase subunit delta, membrane-bound, F1 sector
EG10106	atpI	P0ABC0	g87082325	ATP synthase subunit, F1-F0-type proton-ATPase; membrane-bound
EG10107	avtA	P09053	g48994949	Alanine-alpha-ketoisovalerate transaminase, transaminase C
EG10108	bcp	P0AE52	g1788825	Thioredoxin-dependent thiol peroxidase; peroxide hypersensitivity
EG10109	betA	P17444	g1786503	Choline dehydrogenase, oxygen-dependent; bet genes confer protection against osmotic stress by making the osmoprotectant glycine betaine from choline
EG10110	betB	P17445	g1786504	Betaine aldehyde dehydrogenase, NAD-dependent; bet genes confer protection against osmotic stress by making the osmoprotectant glycine betaine from choline; tetrameric
EG10111	betI	P17446	g1786505	Repressor for the betIBA betT divergon, choline-sensing; bet genes confer protection against osmotic stress by making the osmoprotectant glycine betaine from choline
EG10112	betT	P0ABC9	g1786506	High-affinity choline transporter; bet genes confer protection against osmotic stress by making the osmoprotectant glycine betaine from choline
EG10113	bfr	P0ABD3	g1789733	Bacterioferritin; negatively regulated by ryhB RNA as part of indirect positive regulation by Fur; 24-mer
EG10114	bglB	P11988	g2367270	Phospho-beta-glucosidase B; allows growth on arbutin or salicin when activated
EG10115	bglF	P08722	g1790159	PTS system EIIABC enzyme, beta-glucoside phosphotransferase; BglG kinase/dephosphorylase; membrane-bound protein; binds BglG
EG10116	bglG	P11989	g1790160	Transcription anti-terminator for cryptic bglGFBH operon; RNA-binding protein; dimerization and activity modulated by phosphorylation state; binds BglF, its kinase/dephosphorylase
EG10117	bioA	P12995	g1786991	7,8-diaminopelargonic acid aminotransferase
EG10118	bioB	P12996	g1786992	Biotin synthase; dethiobiotin to biotin pathway; iron-sulfur enzyme
EG10119	bioC	P12999	g1786994	Biotin synthesis blocked prior to pimeloyl CoA formation; putative SAM-dependent methyltransferase
EG10120	bioD	P13000	g1786995	Dethiobiotin synthase
EG10121	bioF	P12998	g1786993	7-keto-8-amino pelargonic acid synthase
EG10122	bioH	P13001	g1789817	Short acyl chain carboxylesterase, biotin synthesis; binds CoA; blocked prior to pimeloyl CoA formation
EG10123	birA	P06709	g1790408	Bifunctional biotin protein ligase, biotin operon repressor; biotin-[acetyl-CoA carboxylase] holoenzyme synthase; monomeric
EG10124	bisC	P20099	g87082288	Biotin sulfoxide and methionine (S) sulfoxide reductase; cytoplasmic
EG10125	bolA	P0ABE2	g87081740	Stationary-phase morphogene, transcriptional repressor for mreB; predicted reductase; also regulates dacA, dacC, and ampC transcription; shape determinant; FtsZ dependent; induced by AI-2 pheromone
EG10126	btuB	P06129	g1790405	B12 uptake, outer membrane receptor; receptor for E colicins, phages BF23 and C1
EG10127	btuC	P06609	g1788004	B12 uptake, ABC transporter permease
EG10128	btuD	P06611	g1788002	B12 uptake, ABC transporter ATPase
EG10129	btuE	P06610	g1788003	Non-essential for vitamin B12 transport
EG10130	btuR	P0A9H5	g1787525	Regulatory gene affecting btuB
EG10131	cadA	P0A9H3	g1790573	Lysine decarboxylase, acid-inducible; decameric
EG10132	cadB	P0AAE8	g1790575	Lysine-cadaverine antiporter
EG10133	cadC	P23890	g1790576	Transcriptional activator for cadBA, low external pH-, low oxygen-, excess lysine-responsive; homodimeric
EG10134	carA	P0A6F1	g1786215	Carbamoyl phosphate synthase, small subunit; glutamine-hydrolyzing, tetramer of heterodimers
EG10135	carB	P00968	g1786216	Carbamoyl phosphate synthase, ammonia, large subunit; tetramer of heterodimers
EG10136	cca	P06961	g1789436	tRNA nucleotidyltransferase, repairs terminal CCA of tRNAs
EG10137	cdd	P0ABF6	g1788465	Cytidine deaminase; 2-deoxycytidine deaminase; mutants are 5-fluorodeoxycytidine resistant; binds Zn(II)
EG10138	cdh	P06282	g1790352	CDP-diglyceride hydrolase; Salmonella ortholog has both UDP sugar hydrolase (UshB) and NAD pyrophosphatase (PnuE) activities
EG10139	cdsA	P0ABG1	g87081696	CDP-diglyceride synthase, integral membrane protein with eight transmembrane helices; also known as phosphatidate cytidylyltransferase
EG10140	chbB	P69795	g1788034	N,N'-diacetylchitobiose utilization, enzyme IIB(Chb) of the PTS transport system
EG10141	chbC	P17334	g1788032	PTS Enzyme IIC(Chb) for N,N'-diacetylchitobiose utilization
EG10142	chbA	P69791	g1788031	PTS Enzyme IIA(Chb), N,N'-diacetylchitobiose utilization; trimeric
EG10143	chbR	P17410	g1788030	Repressor, chb operon for N,N'-diacetylchitobiose utilization; AraC family 
EG10144	chbF	P17411	g1788029	N,N'-diacetylchitobiose utilization, phospho-chitobiase; can hydrolyze a variety of phospho-beta-glucosides
EG10145	creD	P08369	g1790862	Inner membrane protein, function unknown
EG10146	cheA	P07363	g1788197	Histidine protein kinase sensor of chemotactic response; CheY is cognate response regulator; autophosphorylating; CheAS is a short form produced by an internal start at codon 98
EG10147	cheB	P07330	g1788192	Chemotaxis MCP protein-glutamate methylesterase; reverses CheR methylation at specific MCP glutamates
EG10148	cheR	P07364	g1788193	Chemotaxis MCP protein methyltransferase, SAM-dependent; binds C-terminus of chemoreceptors; makes glutamate methyl esters
EG10149	cheW	P0A964	g1788196	Chemotaxis signal transducer; bridges CheA to chemoreceptors to regulate phophotransfer to CheY and CheB
EG10150	cheY	P0AE67	g1788191	Response regulator for chemotactic signal transduction; single-domain response regulator lacking an output domain; CheA is the cognate sensor protein; autoacetylase
EG10151	cheZ	P0A9H9	g1788190	CheY-P phosphatase
EG10152	modC	P09833	g1786981	Molybdate uptake; chlorate resistance
EG10153	moeA	P12281	g1787049	Molybdopterin (MPT) synthesis; incorporation of molybdenum into MPT; chlorate resistance
EG10154	moeB	P12282	g1787048	Molybdopterin-synthase sulfurylase; probable adenylation/thiocarboxylation of MoaD C-terminus; chlorate resistance; zinc-containing enyzyme
EG10155	cirA	P17315	g1788478	Colicin I outer membrane receptor and translocator; ferric iron-catecholate transporter
EG10156	clpA	P0ABH9	g1787109	ATPase subunit of ClpAP ATP-dependent protease; protease Ti; molecular chaperone
EG10157	clpB	P63284	g1788943	Bichaperone with DnaK for protein disaggregation; protein-dependent ATPase; role in de novo protein folding under mild stress conditions
EG10158	clpP	P0A6G7	g1786641	Proteolytic subunit of ClpXP and ClpAP ATP-dependent proteases; protease Ti
EG10159	clpX	P0A6H1	g1786642	ATPase subunit of ClpXP protease; ClpXP degrades ssrA-tagged proteins; molecular chaperone
EG10160	cpdB	P08331	g1790658	2',3'-cyclic nucleotide 2'-phosphodiesterase, periplasmic
EG10161	cpsB	P24174	g1788362	Colanic acid (CPS) biosynthesis; mannose 1-P guanyltransferase synthesis
EG10162	cpsG	P24175	g1788361	Phosphomannomutase isozyme; colanic acid biosynthesis synthesis
EG10163	cpxA	P0AE82	g1790346	Histidine protein kinase, periplasmic stress sensor; inner membrane protein; CpxR is the two-component cognate response regulator; Kan-R, phage Q resistant; L-serine growth
EG10164	crp	P0ACJ8	g1789756	cAMP receptor protein
EG10165	crr	P69783	g1788757	EIIA(Glc), phosphocarrier for glucose PTS transport; negative control of rpoS
EG10166	cspA	P0A9X9	g1789979	Cold-inducible RNA chaperone and anti-terminator; aids gene expression at low temperature; cold shock protein CS7.4; binds ssRNA and ssDNA
EG10167	cstA	P15078	g1786814	Starvation-induced protein involved in peptide utilization during carbon starvation
EG10168	lnt	P23930	g1786878	Apolipoprotein N-acetyltransferase; copper sensitivity
EG10169	cvpA	P08550	g1788652	Affects Col V production; member of purF operon
EG10170	cyaA	P00936	g1790238	Adenylate cyclase
EG10172	cybB	P0ABE5	g87081903	Cytochrome b561
EG10173	cydA	P0ABJ9	g87081779	Cytochrome d (bd-I) terminal oxidase subunit I; upregulated in biofilms and microaerobic conditions; aerobically repressed by H-NS; anaerobically repressed by Fnr
EG10174	cydB	P0ABK2	g1786954	Cytochrome d (bd-I) terminal oxidase subunit II; upregulated in biofilms and microaerobic conditions; aerobically repressed by H-NS; anaerobically repressed by Fnr
EG10175	cynS	P00816	g1786535	Cyanate aminohydrolase
EG10176	cynT	P0ABE9	g1786534	Carbonic anhydrase, beta class
EG10177	cynX	P17583	g1786536	Putative transporter, function unknown, cyn operon
EG10178	cyoA	P0ABJ1	g1786635	Cytochrome o oxidase subunit II, lipoprotein; also called cytochrome bo(3) ubiquinol oxidase subunit II
EG10179	cyoB	P0ABI8	g1786634	Cytochrome o oxidase subunit I; cytochrome bo(3) ubiquinol oxidase subunit I
EG10180	cyoC	P0ABJ3	g1786633	Cytochrome o oxidase subunit III; cytochrome bo(3) ubiquinol oxidase subunit III
EG10181	cyoD	P0ABJ6	g1786632	Cytochrome o oxidase subunit IV; cytochrome bo(3) ubiquinol oxidase subunit IV
EG10182	cyoE	P0AEA5	g1786631	Cytochrome o oxidase protoheme IX farnesyltransferase subunit
EG10183	cysA	P16676	g1788761	Sulfate permease, chromate resistance
EG10184	cysB	P0A9F3	g1787530	Positive regulator for Cys regulon, acetylserine inducer; downregulates ssuEADCB; cysteine desulfhydrase
EG10185	cysC	P0A6J1	g1789107	Adenylylsulfate kinase, APS kinase
EG10186	cysD	P21156	g1789109	Sulfate adenylyltransferase
EG10187	cysE	P0A9D4	g1790035	Cysteine synthase, serine acetyltransferase (SAT); first step in cysteine synthesis; feedback inhibited by cysteine.hexameric
EG10188	cysG	P0AEA8	g1789768	Siroheme synthase, multifunctional enzyme; has three activities: uroporphyrinogen III methyltransferase, SAM-dependent; precorrin-2 dehydrogenase; sirohydrochlorin ferrochelatase
EG10189	cysH	P17854	g1789121	Phosphoadenylyl sulfate (PAPS) reductase
EG10190	cysI	P17846	g1789122	Sulfite reductase [NADPH] hemoprotein beta-component; has 4Fe-4S iron-sulfur center
EG10191	cysJ	P38038	g1789123	Sulfite reductase [NADPH] flavoprotein alpha-component; binds FMN and FAD
EG10192	cysK	P0ABK5	g1788754	Cysteine synthase A, O-acetylserine sulfhydrylase A; homodimeric; selenate, azaserine, chromate resistance; alkali-inducible, sulfate starvation-inducible protein SSI5; cysteine desulfhydrase
EG10193	cysM	P16703	g2367138	Cysteine synthase B, O-acetylserine sulfhydrylase B
EG10194	cysN	P23845	g1789108	Gtp subunit of ATP sulfurylase
EG10195	cysP	P16700	g1788765	Periplasmic sulfate binding protein
EG10196	cysS	P21888	g1786737	Cysteine--tRNA ligase; binds Zn(II)
EG10197	cysU	P16701	g1788764	Cysteine transport system; may also transport molybdate
EG10198	cysW	P0AEB0	g87082099	Membrane-bound sulfate transport protein; may also transport molybdate
EG10200	cytR	P0ACN7	g1790369	Regulatory gene for deo, udp, and cdd; mutants show improved growth on uridine
EG10201	dacA	P0AEB2	g1786851	D-alanine D-alanine carboxypeptidase PBP5, cell morphology; penicillin-binding protein 5; beta-lactamase activity
EG10202	dacB	P24228	g1789573	D-alanine D-alanine carboxypeptidase PBP4; penicillin-binding protein 4
EG10203	dacC	P08506	g1787062	D-alanine D-alanine carboxypeptidase PBP6; penicillin-binding protein 6
EG10204	dam	P0AEE8	g1789789	DNA-(adenine-N6)-methyltransferase, methylates GATC; role in repair and replication
EG10205	dapA	P0A6L2	g1788823	Dihydrodipicolinate synthase
EG10206	dapB	P04036	g1786214	Dihydrodipicolinate reductase
EG10207	dapD	P0A9D8	g1786362	2,3,4,5-tetrahydropyridine-2-carboxylate N-succinyltransferase; mutations suppress growth defects of strains lacking superoxide dismutase
EG10208	dapE	P0AED7	g1788816	N-succinyl-diaminopimelate desuccinylase, DAP/lysine biosynthesis, contains Zn(2+)/Co(2+)
EG10209	dapF	P0A6K1	g87082334	Diaminopimelate epimerase
EG10210	dbpA	P21693	g1787605	ATP-dependent 3'-5' RNA helicase, specific for 23S rRNA
EG10211	dcm	P0AED9	g1788271	DNA cytosine methyltransferase; internal cytosine methylated
