SPAC22H10.13	YOR031W
SPAC3A12.18	YNL241C
SPBC1778.01C	YGR285C
SPAC15A10.04C	YGR211W
SPAC25G10.03	YNL103W
SPAC23C11.14	YMR243C|YOR316C
SPBC1718.07C	NONE
SPAC31F12.01	YML109W|YMR273C
SPBC1198.04C	YPR022C
SPAC227.08C	YPR107C
SPAC17G6.16C	YLR277C
SPAPB1A10.10C	YML001W
SPBC405.04C	YML001W
SPAC6F6.15	YKR014C|YNL093W|YOR089C
SPAC1B3.11C	NONE
SPAC18G6.03	YER031C|YGL210W
SPAC9E9.07C	YFL005W
SPBC1703.10	YFL038C
SPCC1795.09	YDR144C|YDR349C|YIR039C|YLR120C|YLR121C
SPCC11E10.05C	YER005W
SPBC13G1.11	YKL196C
SPAPB17E12.02	NONE
SPAC19B12.12C	NONE
SPAC1F5.08C	YNL291C
SPAC1F7.12	NONE
SPCC24B10.14C	YLR265C
SPCC1739.15	NONE
SPCC1906.04	NONE
SPCC285.07C	NONE
SPCC1450.08C	NONE
SPCC663.02	NONE
SPCC162.04C	NONE
SPCC622.21	NONE
SPCC1183.10	NONE
SPAC4F10.15C	YOR181W
SPBC30B4.01C	YHL028W|YNL283C|YOL105C|YOR008C
SPAC9E9.13	YKL117W
SPAC9G1.02	YCR073C|YNR031C
SPAC1B3.03C	YJR032W|YLR216C
SPBC409.07C	YJL128C
SPAC1006.09	YCR073C|YNR031C
SPBC800.02	YOR083W
SPCC18B5.03	YJL187C
SPBC3B9.10	YMR197C
SPCC1322.14C	YJL012C
SPBC13E7.09	YLR337C
SPBC29A10.11C	YML097C
SPBC4F6.10	YML097C
SPAC17A2.06C	YAL002W
SPAC1783.02C	YPR139C
SPAC630.11	YJR044C
SPAC3A12.15	YJL029C
SPCPJ732.01	YOR069W
SPAC2G11.03C	YGL095C
SPAP27G11.05C	YDR080W
SPAC2G11.06	YPR173C
SPCC777.13	YJL154C
SPBC1703.15C	YLR396C
SPAC1142.07C	YLR025W
SPCC364.05	YDR495C
SPAC15E1.06	YHR012W
SPAC1B3.07C	YPL065W
SPAC19A8.05C	YNR006W
SPAC4G9.13C	YJL053W
SPBC4B4.06	YJR102C
SPAC9E9.14	YKL041W
SPBC215.14C	YMR077C
SPAPJ696.01C	YOR132W
SPAC824.05	YPL045W
SPBC21C3.01C	YLL040C
SPBC16C6.02C	YLL040C
SPAC767.01C	YKR001C
SPCC757.10	YKL119C
SPAC16E8.07C	YMR054W|YOR270C
SPCC965.03	YEL051W
SPBC3B9.18C	YGR020C
SPAC17A2.03C	YLR447C
SPAPB2B4.05	YKL080W
SPAC11E3.07	YOR332W
SPAC1B3.14	YEL027W
SPAC637.05C	YBR127C
SPAC2C4.13	YHR026W
SPAC7D4.10	YPR036W
SPAC732.01	YPL234C
SPBC1289.05C	YHR039C-A
SPAC343.05	YDL185W
SPAC10F6.06	NONE
SPAC1B3.16C	YGR065C
SPAC4A8.08C	YGR094W
SPAC23H4.14	YDL077C
SPBC354.14C	YEL013W
SPBC16E9.06C	YAL044W-A
SPBC649.04	YBR016W|YDL012C|YDR210W
SPBC19C7.09C	NONE
SPBC23E6.04C	YJL109C
SPAC29E6.03C	YDL058W
SPAC1002.19	NONE
SPAC1952.11C	NONE
SPAC2G11.02	YJR041C
SPBC725.15	YML106W|YMR271C
SPCC330.05C	YEL021W
SPAC57A10.12C	NONE
SPAC16.03C	YLR420W
SPAC22G7.06C	YJL130C
SPAC31G5.08	YOR278W
SPAC19A8.08	YHR077C
SPAC16C9.06C	YMR080C
SPCC1183.06	YML021C
SPAC17A5.07C	YIL031W
SPBC19G7.09	YPL020C
SPAC1B2.02C	YDR470C
SPCC895.04C	YOR075W
