#WormPep	CDS	SwissProtAc	SwissProtID	Description	
RP:RP00001	cr01.sctg51.wum.85.1			
RP:RP00002	cr01.sctg49.wum.89.1			
RP:RP00003	cr01.sctg3012.wum.1.1			
RP:RP00004	cr01.sctg466.wum.1.1			
RP:RP00005	cr01.sctg7975.wum.1.1			
RP:RP00006	cr01.sctg378.wum.10.1			
RP:RP00007	cr01.sctg357.wum.4.1			
RP:RP00008	cr01.sctg4.wum.127.1			
RP:RP00009	cr01.sctg6935.wum.1.1			
RP:RP00010	cr01.sctg0.wum.139.1			
RP:RP00011	cr01.sctg11.wum.13.1			
RP:RP00012	cr01.sctg10.wum.155.1			
RP:RP00013	cr01.sctg64.wum.10.1			
RP:RP00014	cr01.sctg13.wum.308.1			
RP:RP00015	cr01.sctg67.wum.52.1			
RP:RP00016	cr01.sctg25.wum.41.1			
RP:RP00017	cr01.sctg0.wum.317.1			
RP:RP00018	cr01.sctg1531.wum.1.1			
RP:RP00019	cr01.sctg12.wum.162.1			
RP:RP00020	cr01.sctg129.wum.19.1			
RP:RP00021	cr01.sctg29.wum.133.1			
RP:RP00022	cr01.sctg88.wum.47.1			
RP:RP00023	cr01.sctg163.wum.12.1			
RP:RP00024	cr01.sctg11.wum.22.1			
RP:RP00025	cr01.sctg13.wum.144.1			
RP:RP00026	cr01.sctg30.wum.57.1			
RP:RP00027	cr01.sctg4312.wum.1.1			
RP:RP00028	cr01.sctg2517.wum.2.1			
RP:RP00029	cr01.sctg238.wum.1.1			
RP:RP00030	cr01.sctg20.wum.81.1			
RP:RP00031	cr01.sctg450.wum.1.1			
RP:RP00032	cr01.sctg34.wum.78.1			
RP:RP00033	cr01.sctg750.wum.1.1			
RP:RP00034	cr01.sctg17.wum.201.1			
RP:RP00035	cr01.sctg62.wum.34.1			
RP:RP00036	cr01.sctg107.wum.33.1			
RP:RP00037	cr01.sctg11.wum.248.1			
RP:RP00038	cr01.sctg7.wum.239.2			
RP:RP00039	cr01.sctg83.wum.32.1			
RP:RP00040	cr01.sctg17.wum.215.1			
RP:RP00041	cr01.sctg88.wum.49.1			
RP:RP00042	cr01.sctg61.wum.38.1			
RP:RP00043	cr01.sctg13.wum.87.1			
RP:RP00044	cr01.sctg5.wum.391.1			
RP:RP00045	cr01.sctg288.wum.3.1			
RP:RP00046	cr01.sctg43.wum.15.1			
RP:RP00047	cr01.sctg1.wum.17.1			
RP:RP00048	cr01.sctg3912.wum.2.1			
RP:RP00049	cr01.sctg2.wum.329.1			
RP:RP00050	cr01.sctg56.wum.65.1			
RP:RP00051	cr01.sctg5.wum.267.1			
RP:RP00052	cr01.sctg65.wum.65.1			
RP:RP00053	cr01.sctg83.wum.30.1			
RP:RP00054	cr01.sctg72.wum.38.1			
RP:RP00055	cr01.sctg3.wum.80.1			
RP:RP00056	cr01.sctg59.wum.27.1			
RP:RP00057	cr01.sctg1.wum.428.1			
RP:RP00058	cr01.sctg87.wum.5.1			
RP:RP00059	cr01.sctg20.wum.102.1			
RP:RP00060	cr01.sctg17.wum.203.1			
RP:RP00061	cr01.sctg3.wum.143.1			
RP:RP00062	cr01.sctg101.wum.12.1			
RP:RP00063	cr01.sctg533.wum.1.1			
RP:RP00064	cr01.sctg54.wum.35.1			
RP:RP00065	cr01.sctg3.wum.21.1			
RP:RP00066	cr01.sctg2.wum.718.1			
RP:RP00067	cr01.sctg4279.wum.1.1			
RP:RP00068	cr01.sctg3.wum.146.1			
RP:RP00069	cr01.sctg248.wum.5.1			
RP:RP00070	cr01.sctg142.wum.7.1			
RP:RP00071	cr01.sctg5458.wum.1.1			
RP:RP00072	cr01.sctg19.wum.183.1			
RP:RP00073	cr01.sctg27.wum.82.1			
RP:RP00074	cr01.sctg3.wum.608.1			
RP:RP00075	cr01.sctg364.wum.1.1			
RP:RP00076	cr01.sctg5990.wum.1.1			
RP:RP00077	cr01.sctg28.wum.70.1			
RP:RP00078	cr01.sctg2011.wum.3.1			
RP:RP00079	cr01.sctg65.wum.13.1			
RP:RP00080	cr01.sctg6.wum.284.1			
RP:RP00081	cr01.sctg64.wum.31.1			
RP:RP00082	cr01.sctg4281.wum.1.1			
RP:RP00083	cr01.sctg2.wum.176.1			
RP:RP00084	cr01.sctg1290.wum.2.1			
RP:RP00085	cr01.sctg274.wum.13.1			
RP:RP00086	cr01.sctg7.wum.165.1			
RP:RP00087	cr01.sctg0.wum.626.1			
RP:RP00088	cr01.sctg0.wum.257.1			
RP:RP00089	cr01.sctg10.wum.260.1			
RP:RP00090	cr01.sctg42.wum.16.1			
RP:RP00091	cr01.sctg3.wum.144.1			
RP:RP00092	cr01.sctg262.wum.11.1			
RP:RP00093	cr01.sctg139.wum.43.1			
RP:RP00094	cr01.sctg35.wum.139.1			
RP:RP00095	cr01.sctg2.wum.623.1			
RP:RP00096	cr01.sctg212.wum.6.1			
RP:RP00097	cr01.sctg82.wum.27.1			
RP:RP00098	cr01.sctg313.wum.6.1			
RP:RP00099	cr01.sctg1034.wum.2.2			
RP:RP00100	cr01.sctg334.wum.2.1			
RP:RP00101	cr01.sctg2.wum.147.1			
RP:RP00102	cr01.sctg192.wum.4.2			
RP:RP00103	cr01.sctg6764.wum.1.1			
RP:RP00104	cr01.sctg8908.wum.1.1			
RP:RP00105	cr01.sctg66.wum.12.1			
RP:RP00106	cr01.sctg9.wum.257.1			
RP:RP00107	cr01.sctg2.wum.681.1			
RP:RP00108	cr01.sctg220.wum.4.1			
RP:RP00109	cr01.sctg3642.wum.1.1			
RP:RP00110	cr01.sctg58.wum.19.1			
RP:RP00111	cr01.sctg10.wum.10.1			
RP:RP00112	cr01.sctg67.wum.23.1			
RP:RP00113	cr01.sctg63.wum.11.1			
RP:RP00114	cr01.sctg154.wum.32.1			
RP:RP00115	cr01.sctg4.wum.285.2			
RP:RP00116	cr01.sctg391.wum.1.1			
RP:RP00117	cr01.sctg340.wum.4.1			
RP:RP00118	cr01.sctg1.wum.853.1			
RP:RP00119	cr01.sctg829.wum.2.1			
RP:RP00120	cr01.sctg68.wum.75.1			
RP:RP00121	cr01.sctg1.wum.564.1			
RP:RP00122	cr01.sctg3646.wum.1.1			
RP:RP00123	cr01.sctg73.wum.17.1			
RP:RP00124	cr01.sctg33.wum.143.1			
RP:RP00125	cr01.sctg116.wum.14.1			
RP:RP00126	cr01.sctg538.wum.4.1			
RP:RP00127	cr01.sctg3.wum.241.1			
RP:RP00128	cr01.sctg29.wum.116.1			
RP:RP00129	cr01.sctg628.wum.2.1			
RP:RP00130	cr01.sctg743.wum.4.1			
RP:RP00131	cr01.sctg7.wum.256.2			
RP:RP00132	cr01.sctg1.wum.207.1			
RP:RP00133	cr01.sctg1987.wum.3.1			
RP:RP00134	cr01.sctg76.wum.19.1			
RP:RP00135	cr01.sctg17.wum.98.1			
RP:RP00136	cr01.sctg10.wum.297.1			
RP:RP00137	cr01.sctg7077.wum.1.1			
RP:RP00138	cr01.sctg142.wum.23.1			
RP:RP00139	cr01.sctg31.wum.133.1			
RP:RP00140	cr01.sctg274.wum.11.1			
RP:RP00141	cr01.sctg18.wum.213.1			
RP:RP00142	cr01.sctg12.wum.118.1			
RP:RP00143	cr01.sctg51.wum.74.1			
RP:RP00144	cr01.sctg19.wum.142.1			
RP:RP00145	cr01.sctg19.wum.118.1			
RP:RP00146	cr01.sctg1321.wum.3.1			
RP:RP00147	cr01.sctg262.wum.1.1			
RP:RP00148	cr01.sctg19.wum.62.1			
RP:RP00149	cr01.sctg0.wum.1009.1			
RP:RP00150	cr01.sctg6.wum.66.3			
RP:RP00151	cr01.sctg204.wum.6.1			
RP:RP00152	cr01.sctg5.wum.70.1			
RP:RP00153	cr01.sctg9.wum.398.1			
RP:RP00154	cr01.sctg19.wum.99.1			
RP:RP00155	cr01.sctg15.wum.5.1			
RP:RP00156	cr01.sctg3.wum.229.1			
RP:RP00157	cr01.sctg346.wum.1.1			
RP:RP00158	cr01.sctg88.wum.27.1			
RP:RP00159	cr01.sctg13.wum.163.2			
RP:RP00160	cr01.sctg9.wum.150.1			
RP:RP00161	cr01.sctg5279.wum.1.1			
RP:RP00162	cr01.sctg2661.wum.1.1			
RP:RP00163	cr01.sctg3985.wum.2.1			
RP:RP00164	cr01.sctg206.wum.11.1			
RP:RP00165	cr01.sctg325.wum.2.1			
RP:RP00166	cr01.sctg21.wum.129.1			
RP:RP00167	cr01.sctg3083.wum.1.1			
RP:RP00168	cr01.sctg63.wum.58.1			
RP:RP00169	cr01.sctg51.wum.58.1			
RP:RP00170	cr01.sctg2450.wum.1.1			
RP:RP00171	cr01.sctg588.wum.1.1			
RP:RP00172	cr01.sctg5.wum.119.1			
RP:RP00173	cr01.sctg58.wum.5.1			
RP:RP00174	cr01.sctg122.wum.51.1			
RP:RP00175	cr01.sctg535.wum.2.1			
RP:RP00176	cr01.sctg93.wum.4.1			
RP:RP00177	cr01.sctg12.wum.216.1			
RP:RP00178	cr01.sctg240.wum.10.1			
RP:RP00179	cr01.sctg9.wum.159.1			
RP:RP00180	cr01.sctg73.wum.30.1			
RP:RP00181	cr01.sctg36.wum.21.1			
RP:RP00182	cr01.sctg10.wum.326.1			
RP:RP00183	cr01.sctg45.wum.42.1			
RP:RP00184	cr01.sctg3402.wum.1.1			
RP:RP00185	cr01.sctg33.wum.96.1			
RP:RP00186	cr01.sctg43.wum.12.1			
RP:RP00187	124155			
RP:RP00188	cr01.sctg1.wum.127.1			
RP:RP00189	cr01.sctg204.wum.15.1			
RP:RP00190	cr01.sctg8.wum.152.1			
RP:RP00191	cr01.sctg19.wum.140.1			
RP:RP00192	cr01.sctg3.wum.96.1			
RP:RP00193	cr01.sctg32.wum.157.1			
RP:RP00194	cr01.sctg2906.wum.1.1			
RP:RP00195	cr01.sctg5712.wum.1.1			
RP:RP00196	cr01.sctg7.wum.477.1			
RP:RP00197	cr01.sctg693.wum.2.1			
RP:RP00198	cr01.sctg1.wum.19.1			
RP:RP00199	cr01.sctg100.wum.18.1			
RP:RP00200	cr01.sctg112.wum.10.1			
RP:RP00201	cr01.sctg4.wum.62.1			
RP:RP00202	cr01.sctg5.wum.389.2			
